id,name,location,district,latitude,longitude,entrance_fee,accessibility,best_season,conservation_status,habitat,area_sq_km,notable_wildlife
yala_national_park,Yala National Park,Yala,Southern/Uva,6.3725,81.5185,USD 15 + service charges,moderate,Feb-Jul,National Park,"dry monsoon forest, grassland, lagoon",979,"leopard, elephant, sloth bear"
udawalawe_national_park,Udawalawe National Park,Udawalawe,Ratnapura/Monaragala,6.4750,80.8890,USD 15 + service charges,easy,year-round,National Park,"grassland, scrub, reservoir",308,"elephant, water buffalo, spotted deer"
wilpattu_national_park,Wilpattu National Park,Wilpattu,Puttalam/Anuradhapura,8.4500,80.0500,USD 15 + service charges,moderate,Feb-Oct,National Park,"dry lowland forest, natural lakes (villus)",1317,"leopard, sloth bear, spotted deer"
minneriya_national_park,Minneriya National Park,Minneriya,Polonnaruwa,8.0333,80.8833,USD 15 + service charges,easy,Jun-Sep,National Park,"reservoir, grassland, dry forest",89,"elephant, toque macaque, painted stork"
horton_plains_national_park,Horton Plains National Park,Horton Plains,Nuwara Eliya,6.8022,80.8000,USD 25 + service charges,moderate,Jan-Mar,"National Park, UNESCO World Heritage","montane grassland, cloud forest",31.6,"sambar deer, purple-faced langur, Sri Lanka whistling thrush"
kumana_national_park,Kumana National Park,Kumana,Ampara,6.5833,81.6667,USD 15 + service charges,moderate,May-Jul,National Park,"mangrove swamp, lagoon, scrub",357,"migratory waterbirds, elephant, leopard"
bundala_national_park,Bundala National Park,Bundala,Hambantota,6.1900,81.2200,USD 15 + service charges,easy,Sep-Mar,"National Park, Ramsar Wetland","coastal lagoon, salt pan, scrub",62,"greater flamingo, saltwater crocodile, elephant"
wasgamuwa_national_park,Wasgamuwa National Park,Wasgamuwa,Matale/Polonnaruwa,7.7167,80.9333,USD 15 + service charges,moderate,Nov-May,National Park,"dry evergreen forest, riverine forest",393,"elephant, sloth bear, endemic birds"
kaudulla_national_park,Kaudulla National Park,Kaudulla,Polonnaruwa,8.1667,80.9000,USD 15 + service charges,easy,Aug-Dec,National Park,"reservoir, grassland, dry forest",66,"elephant, leopard, fishing cat"
sinharaja_forest_reserve,Sinharaja Forest Reserve,Sinharaja,Ratnapura/Galle/Matara,6.4000,80.5000,USD 15 + guide fee,difficult,Jan-Mar,"UNESCO World Heritage, Biosphere Reserve",lowland tropical rainforest,88.6,"endemic birds, purple-faced langur, green pit viper"
